workload	variant	runtime_source	runtime_c_md5	runtime_h_md5	emitted_c_md5	program_header_source	program_header_md5	program_object_md5	defines	link_args	program_compile_command	runtime_compile_command	link_command	program_compile_ms	runtime_compile_ms	link_ms	executable	executable_bytes	executable_md5
lexer	eager	eager	9b7f124cb7a6f5470c13de65155d5565	cb150fa04ffc5e7b595b0069ed4afe6e	be5ee24701032393e29e7b159913a386	eager	cb150fa04ffc5e7b595b0069ed4afe6e	4e5b6c262744f5588d783aebc8bc59d6			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/emitted/lexer.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/lexer-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-eager.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/lexer-eager /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/lexer-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-eager.o -lm	2343.354	488.324	72.790	/home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/lexer-eager	406104	6a2068f57379c1ed3abb8e87e977ebcd
lexer	candidate	candidate	93d224d12db0d2a65f8512f3c14656b0	cb150fa04ffc5e7b595b0069ed4afe6e	be5ee24701032393e29e7b159913a386	eager	cb150fa04ffc5e7b595b0069ed4afe6e	4e5b6c262744f5588d783aebc8bc59d6			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/emitted/lexer.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/lexer-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-candidate.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/lexer-candidate /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/lexer-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-candidate.o -lm	2343.354	443.941	61.059	/home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/lexer-candidate	406144	bafe57b72bab3c2ebb218620f86d3cb4
rbtree	eager	eager	9b7f124cb7a6f5470c13de65155d5565	cb150fa04ffc5e7b595b0069ed4afe6e	0d6a90524e4b55984a387e401e8325f2	eager	cb150fa04ffc5e7b595b0069ed4afe6e	a6f98c58f3e4161791e1d3ea7b89e40d			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/emitted/rbtree.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/rbtree-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-eager.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/rbtree-eager /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/rbtree-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-eager.o -lm	1804.620	488.324	61.128	/home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/rbtree-eager	324088	496d1533da41bfdfc9dc57ada2e9a64e
rbtree	candidate	candidate	93d224d12db0d2a65f8512f3c14656b0	cb150fa04ffc5e7b595b0069ed4afe6e	0d6a90524e4b55984a387e401e8325f2	eager	cb150fa04ffc5e7b595b0069ed4afe6e	a6f98c58f3e4161791e1d3ea7b89e40d			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/emitted/rbtree.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/rbtree-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-candidate.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/rbtree-candidate /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/rbtree-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-candidate.o -lm	1804.620	443.941	61.938	/home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/rbtree-candidate	324128	00171d3f9547b53c03499b1b8d3bec58
compiler	eager	eager	9b7f124cb7a6f5470c13de65155d5565	cb150fa04ffc5e7b595b0069ed4afe6e	9562a57dca598dec6d9b132845d3cc3e	eager	cb150fa04ffc5e7b595b0069ed4afe6e	19c8a72db2221e3219b4d3518d002fd3			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/emitted/compiler.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/compiler-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-eager.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/compiler-eager /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/compiler-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-eager.o -lm	33189.359	488.324	87.252	/home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/compiler-eager	4660512	50786c4689449355f1407cd56e0f0ffe
compiler	candidate	candidate	93d224d12db0d2a65f8512f3c14656b0	cb150fa04ffc5e7b595b0069ed4afe6e	9562a57dca598dec6d9b132845d3cc3e	eager	cb150fa04ffc5e7b595b0069ed4afe6e	19c8a72db2221e3219b4d3518d002fd3			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/emitted/compiler.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/compiler-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-candidate.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/compiler-candidate /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/compiler-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/obj/runtime-candidate.o -lm	33189.359	443.941	104.372	/home/justinqi/dawn-slab-issue10-balanced-exact-20260830/build/bin/compiler-candidate	4660552	fde2e7e797f3eb20ae8e97f13450638b
