phase	workload	variant	sample	started_utc	pid	quiet_vmrss_kib	vmhwm_kib	to_ready_ns	to_ready_ms	checksum	exit_code	stderr_file
sample	rbtree	candidate	8	2026-08-30T05:27:19.689+00:00	1319	2548	19712	2007448595	2007.449	2422197960096	0	logs/rbtree-sample-08-candidate.stderr
warmup	compiler	eager	1	2026-08-30T05:27:21.698+00:00	1321	22592	317620	8657915615	8657.916	15669368	0	logs/compiler-warmup-01-eager.stderr
warmup	compiler	candidate	1	2026-08-30T05:27:30.362+00:00	1323	18752	313672	8476305053	8476.305	15669368	0	logs/compiler-warmup-01-candidate.stderr
sample	compiler	candidate	1	2026-08-30T05:27:38.234+00:00	1325	18808	313860	8520088012	8520.088	15669368	0	logs/compiler-sample-01-candidate.stderr
sample	compiler	eager	1	2026-08-30T05:27:46.758+00:00	1327	22588	317652	8651314174	8651.314	15669368	0	logs/compiler-sample-01-eager.stderr
sample	compiler	eager	2	2026-08-30T05:27:55.413+00:00	1329	22488	317540	8665707440	8665.707	15669368	0	logs/compiler-sample-02-eager.stderr
sample	compiler	candidate	2	2026-08-30T05:28:04.083+00:00	1331	19036	314036	8556325428	8556.325	15669368	0	logs/compiler-sample-02-candidate.stderr
sample	compiler	candidate	3	2026-08-30T05:28:12.077+00:00	1333	18888	313912	8591113755	8591.114	15669368	0	logs/compiler-sample-03-candidate.stderr
sample	compiler	eager	3	2026-08-30T05:28:20.672+00:00	1335	22516	317528	8616156187	8616.156	15669368	0	logs/compiler-sample-03-eager.stderr
sample	compiler	eager	4	2026-08-30T05:28:29.292+00:00	1337	22472	317500	8667150883	8667.151	15669368	0	logs/compiler-sample-04-eager.stderr
sample	compiler	candidate	4	2026-08-30T05:28:37.964+00:00	1339	18928	313896	8550795553	8550.796	15669368	0	logs/compiler-sample-04-candidate.stderr
sample	compiler	candidate	5	2026-08-30T05:28:45.921+00:00	1341	18880	313908	8598026753	8598.027	15669368	0	logs/compiler-sample-05-candidate.stderr
sample	compiler	eager	5	2026-08-30T05:28:54.523+00:00	1343	22380	317408	8666693434	8666.693	15669368	0	logs/compiler-sample-05-eager.stderr
sample	compiler	eager	6	2026-08-30T05:29:03.194+00:00	1345	22504	317464	8637967697	8637.968	15669368	0	logs/compiler-sample-06-eager.stderr
sample	compiler	candidate	6	2026-08-30T05:29:11.836+00:00	1347	18848	313764	8611232898	8611.233	15669368	0	logs/compiler-sample-06-candidate.stderr
sample	compiler	candidate	7	2026-08-30T05:29:19.857+00:00	1349	18924	313952	8465348716	8465.349	15669368	0	logs/compiler-sample-07-candidate.stderr
sample	compiler	eager	7	2026-08-30T05:29:28.327+00:00	1351	22552	317580	8705433015	8705.433	15669368	0	logs/compiler-sample-07-eager.stderr
sample	compiler	eager	8	2026-08-30T05:29:37.036+00:00	1353	22588	317612	8637597680	8637.598	15669368	0	logs/compiler-sample-08-eager.stderr
sample	compiler	candidate	8	2026-08-30T05:29:45.678+00:00	1355	18940	314028	8520379531	8520.380	15669368	0	logs/compiler-sample-08-candidate.stderr
