phase	workload	variant	sample	started_utc	pid	quiet_vmrss_kib	vmhwm_kib	to_ready_ns	to_ready_ms	checksum	exit_code	stderr_file
sample	rbtree	eager	2	2026-08-30T05:18:15.099+00:00	4255	2828	20112	2048231477	2048.231	2422197960096	0	logs/rbtree-sample-02-eager.stderr
sample	rbtree	candidate	2	2026-08-30T05:18:17.148+00:00	4257	2572	19852	1992167269	1992.167	2422197960096	0	logs/rbtree-sample-02-candidate.stderr
sample	rbtree	mimalloc	3	2026-08-30T05:18:19.142+00:00	4259	20176	20176	2091542974	2091.543	2422197960096	0	logs/rbtree-sample-03-mimalloc.stderr
sample	rbtree	eager	3	2026-08-30T05:18:21.238+00:00	4263	2832	20128	2004657479	2004.657	2422197960096	0	logs/rbtree-sample-03-eager.stderr
sample	rbtree	candidate	3	2026-08-30T05:18:23.244+00:00	4265	2572	19820	2007917504	2007.918	2422197960096	0	logs/rbtree-sample-03-candidate.stderr
sample	rbtree	glibc	3	2026-08-30T05:18:25.253+00:00	4267	24300	24300	2607532124	2607.532	2422197960096	0	logs/rbtree-sample-03-glibc.stderr
sample	rbtree	eager	4	2026-08-30T05:18:27.302+00:00	4269	2808	19984	2008091477	2008.091	2422197960096	0	logs/rbtree-sample-04-eager.stderr
sample	rbtree	candidate	4	2026-08-30T05:18:29.312+00:00	4271	2572	19940	2015855563	2015.856	2422197960096	0	logs/rbtree-sample-04-candidate.stderr
sample	rbtree	glibc	4	2026-08-30T05:18:31.329+00:00	4273	24296	24296	2586541136	2586.541	2422197960096	0	logs/rbtree-sample-04-glibc.stderr
sample	rbtree	mimalloc	4	2026-08-30T05:18:33.920+00:00	4275	20180	20180	2098576998	2098.577	2422197960096	0	logs/rbtree-sample-04-mimalloc.stderr
sample	rbtree	candidate	5	2026-08-30T05:18:36.022+00:00	4277	2572	19812	2015582492	2015.582	2422197960096	0	logs/rbtree-sample-05-candidate.stderr
sample	rbtree	glibc	5	2026-08-30T05:18:38.039+00:00	4279	24296	24296	2586585988	2586.586	2422197960096	0	logs/rbtree-sample-05-glibc.stderr
sample	rbtree	mimalloc	5	2026-08-30T05:18:40.630+00:00	4281	20176	20176	2172242580	2172.243	2422197960096	0	logs/rbtree-sample-05-mimalloc.stderr
sample	rbtree	eager	5	2026-08-30T05:18:42.806+00:00	4283	2828	20004	2037833810	2037.834	2422197960096	0	logs/rbtree-sample-05-eager.stderr
warmup	compiler	eager	1	2026-08-30T05:18:44.846+00:00	4285	22492	317456	8619039198	8619.039	15669368	0	logs/compiler-warmup-01-eager.stderr
warmup	compiler	candidate	1	2026-08-30T05:18:53.469+00:00	4287	18916	313832	8874382804	8874.383	15669368	0	logs/compiler-warmup-01-candidate.stderr
warmup	compiler	glibc	1	2026-08-30T05:19:01.795+00:00	4289	267168	328664	12270386580	12270.387	15669368	0	logs/compiler-warmup-01-glibc.stderr
warmup	compiler	mimalloc	1	2026-08-30T05:19:14.098+00:00	4291	193192	315444	11027801472	11027.801	15669368	0	logs/compiler-warmup-01-mimalloc.stderr
sample	compiler	candidate	1	2026-08-30T05:19:25.142+00:00	4293	18928	313888	9216633031	9216.633	15669368	0	logs/compiler-sample-01-candidate.stderr
sample	compiler	glibc	1	2026-08-30T05:19:33.802+00:00	4295	267124	328536	13208797060	13208.797	15669368	0	logs/compiler-sample-01-glibc.stderr
sample	compiler	mimalloc	1	2026-08-30T05:19:47.027+00:00	4297	193324	315508	11028926080	11028.926	15669368	0	logs/compiler-sample-01-mimalloc.stderr
sample	compiler	eager	1	2026-08-30T05:19:58.072+00:00	4299	22528	317544	10071668114	10071.668	15669368	0	logs/compiler-sample-01-eager.stderr
sample	compiler	glibc	2	2026-08-30T05:20:07.596+00:00	4301	267128	328424	19429211754	19429.212	15669368	0	logs/compiler-sample-02-glibc.stderr
sample	compiler	mimalloc	2	2026-08-30T05:20:27.059+00:00	4303	177144	314996	16167174232	16167.174	15669368	0	logs/compiler-sample-02-mimalloc.stderr
sample	compiler	eager	2	2026-08-30T05:20:42.701+00:00	4305	22560	317456	13491088040	13491.088	15669368	0	logs/compiler-sample-02-eager.stderr
sample	compiler	candidate	2	2026-08-30T05:20:56.196+00:00	4307	18968	313836	11611396601	11611.397	15669368	0	logs/compiler-sample-02-candidate.stderr
sample	compiler	mimalloc	3	2026-08-30T05:21:07.255+00:00	4309	193280	315464	10591033262	10591.033	15669368	0	logs/compiler-sample-03-mimalloc.stderr
sample	compiler	eager	3	2026-08-30T05:21:17.864+00:00	4311	22572	317580	10888064225	10888.064	15669368	0	logs/compiler-sample-03-eager.stderr
sample	compiler	candidate	3	2026-08-30T05:21:28.756+00:00	4313	18876	313460	14258118937	14258.119	15669368	0	logs/compiler-sample-03-candidate.stderr
sample	compiler	glibc	3	2026-08-30T05:21:42.470+00:00	4317	267044	328572	22061891166	22061.891	15669368	0	logs/compiler-sample-03-glibc.stderr
sample	compiler	eager	4	2026-08-30T05:22:04.597+00:00	4319	22568	317448	20925127350	20925.127	15669368	0	logs/compiler-sample-04-eager.stderr
sample	compiler	candidate	4	2026-08-30T05:22:24.970+00:00	4322	18924	313828	16211208781	16211.209	15669368	0	logs/compiler-sample-04-candidate.stderr
sample	compiler	glibc	4	2026-08-30T05:22:41.185+00:00	4324	267148	328656	23699854947	23699.855	15669368	0	logs/compiler-sample-04-glibc.stderr
sample	compiler	mimalloc	4	2026-08-30T05:23:04.354+00:00	4326	193128	315388	12083029423	12083.029	15669368	0	logs/compiler-sample-04-mimalloc.stderr
sample	compiler	candidate	5	2026-08-30T05:23:15.740+00:00	4328	18980	313916	9115483264	9115.483	15669368	0	logs/compiler-sample-05-candidate.stderr
sample	compiler	glibc	5	2026-08-30T05:23:24.859+00:00	4332	267152	328648	11813976379	11813.976	15669368	0	logs/compiler-sample-05-glibc.stderr
sample	compiler	mimalloc	5	2026-08-30T05:23:36.689+00:00	4334	193236	315320	9951657365	9951.657	15669368	0	logs/compiler-sample-05-mimalloc.stderr
sample	compiler	eager	5	2026-08-30T05:23:46.093+00:00	4336	22508	317472	9737772420	9737.772	15669368	0	logs/compiler-sample-05-eager.stderr
